Region,Latitude,Longitude,VV_Change_dB,VH_Change_dB,Flood_Risk_Score,Flood_Risk_Class,Before_Date,After_Date,Satellite,Product,Source,Spatial_Resolution_m
Nagpur,21.249639,78.986903,0.201,0.332,1.8,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,78.987865,-0.518,0.186,1.0,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,78.988827,-0.56,0.556,0.8,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,78.989789,0.346,0.485,3.1,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,78.990751,-0.383,-1.174,6.1,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,78.991713,-0.633,0.254,3.6,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,78.992675,0.246,-0.085,1.3,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,78.993637,0.564,0.091,1.9,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,78.994599,-0.044,-0.269,3.2,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,78.995561,-0.076,-0.627,3.6,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,78.996523,-0.715,-1.048,6.1,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,78.997485,-0.173,0.06,0.9,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,78.998447,0.518,0.578,0.9,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,78.999409,-0.109,0.135,2.5,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.000371,-0.773,0.578,3.6,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.001333,-0.119,0.026,1.7,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.002295,0.646,0.445,0.3,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.003257,0.447,-0.099,0.3,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.004219,0.07,0.322,1.5,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.005181,-0.573,0.158,3.6,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.006143,-0.343,-0.561,1.2,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
Nagpur,21.249639,79.007105,0.096,-0.398,3.0,Low,2026-08-10,2026-08-22,Sentinel-1,Sentinel-1 GRD,Microsoft Planetary Computer,100
