Latitude,Longitude,B02_Blue,B03_Green,B04_Red,B08_NIR,NDVI,NDVI_Class,Satellite,Product,Scene_Date,Cloud_Cover_Percent,Grid_Size_m
21.249926,78.982042,0.160869,0.190519,0.21142,0.35602,0.257004,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249938,78.983005,0.150751,0.181342,0.183493,0.377572,0.344335,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249949,78.983969,0.159383,0.189672,0.201448,0.371534,0.294886,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249961,78.984932,0.162237,0.192506,0.210687,0.363155,0.271021,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249972,78.985895,0.188383,0.223492,0.246756,0.378358,0.220571,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249984,78.986858,0.176701,0.206031,0.227914,0.277385,0.086493,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249996,78.987821,0.201517,0.236181,0.276961,0.343164,0.111814,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250007,78.988785,0.188457,0.220428,0.264817,0.331032,0.111985,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250018,78.989748,0.133874,0.149371,0.156153,0.180635,0.046943,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.25003,78.990711,0.148462,0.170401,0.184404,0.234825,0.092666,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250041,78.991674,0.128271,0.144243,0.15061,0.166174,0.011741,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250053,78.992637,0.170937,0.202327,0.235118,0.316649,0.142424,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250064,78.993601,0.206933,0.248991,0.305364,0.373237,0.101568,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250076,78.994564,0.200105,0.237295,0.287647,0.365287,0.120481,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250087,78.995527,0.179717,0.218192,0.241582,0.407737,0.262444,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250099,78.99649,0.158205,0.194318,0.193867,0.404613,0.358654,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.25011,78.997454,0.14146,0.173178,0.157308,0.378876,0.411726,Moderate Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250122,78.998417,0.148324,0.177067,0.172128,0.342842,0.327151,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250133,78.99938,0.149359,0.174771,0.182147,0.309429,0.255697,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250145,79.000343,0.151697,0.18612,0.184508,0.358941,0.324123,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250156,79.001306,0.177891,0.2167,0.249043,0.343001,0.165071,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250167,79.00227,0.19154,0.235171,0.28662,0.332508,0.075093,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250179,79.003233,0.176045,0.210055,0.246261,0.340912,0.162631,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.25019,79.004196,0.170801,0.203992,0.234067,0.354208,0.207475,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250202,79.005159,0.158689,0.191307,0.203442,0.336285,0.249568,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250213,79.006123,0.156932,0.186534,0.199992,0.327212,0.241894,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250224,79.007086,0.170486,0.200907,0.229403,0.335932,0.190996,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250236,79.008049,0.202591,0.240864,0.278345,0.372844,0.147257,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250247,79.009012,0.201062,0.244069,0.286973,0.371775,0.134287,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250259,79.009975,0.211582,0.255726,0.306842,0.372291,0.098018,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.25027,79.010939,0.20922,0.25917,0.318931,0.359908,0.061716,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250281,79.011902,0.203968,0.251349,0.306275,0.369346,0.09794,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250293,79.012865,0.212054,0.267104,0.333278,0.377833,0.063269,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250304,79.013828,0.201095,0.248215,0.309184,0.360389,0.077487,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250315,79.014792,0.169684,0.202885,0.235674,0.326757,0.168689,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250327,79.015755,0.149395,0.176502,0.190277,0.318988,0.253029,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250338,79.016718,0.162813,0.199811,0.220723,0.329791,0.203174,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250349,79.017681,0.145231,0.173867,0.182383,0.241863,0.120034,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250361,79.018645,0.12958,0.150958,0.14053,0.210114,0.151572,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250372,79.019608,0.163336,0.188996,0.196966,0.27892,0.160327,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250383,79.020571,0.165634,0.20423,0.222916,0.359009,0.235838,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250395,79.021534,0.184222,0.224202,0.269802,0.344049,0.12282,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250406,79.022498,0.192116,0.227628,0.272441,0.343969,0.116199,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250417,79.023461,0.190563,0.225233,0.267039,0.341963,0.124608,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250428,79.024424,0.183952,0.221179,0.250217,0.352677,0.174446,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.25044,79.025387,0.223408,0.236251,0.238217,0.369629,0.220451,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250451,79.02635,0.166628,0.193463,0.192573,0.341084,0.282677,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250462,79.027314,0.147465,0.179503,0.173137,0.358892,0.347611,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250474,79.028277,0.179078,0.21155,0.228877,0.324278,0.170112,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250485,79.02924,0.172833,0.204639,0.228968,0.327452,0.180064,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250496,79.030203,0.175034,0.208637,0.252336,0.309928,0.102558,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250507,79.031167,0.16881,0.202093,0.237646,0.323198,0.152158,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250519,79.03213,0.163759,0.194046,0.206169,0.26383,0.121742,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.25053,79.033093,0.241681,0.29081,0.34763,0.373675,0.036164,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250541,79.034056,0.226262,0.269558,0.32009,0.347864,0.042866,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250552,79.03502,0.199258,0.234018,0.278342,0.329713,0.088012,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.250564,79.035983,0.195198,0.229414,0.273546,0.333863,0.102685,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
