Latitude,Longitude,Mean_NDBI,Mean_NDVI,BuiltUp_Pixel_Count,Valid_Pixel_Count,BuiltUp_Fraction,BuiltUp_Percent,BuiltUp_Class,Scene_Date,Cloud_Cover_Percent,Satellite
21.250068978006464,78.99398598160916,0.0708,0.1851,47,100,0.47,47.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.250080438451487,78.9949491998098,0.0752,0.1469,37,100,0.37,37.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.250091893400366,78.99591241865467,0.0053,0.244,0,100,0.0,0.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.25010334285309,78.9968756381435,0.0709,0.1547,48,100,0.48,48.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.250114786809633,78.99783885827598,0.0774,0.1399,40,100,0.4,40.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.25012622526999,78.99880207905179,0.1075,0.0679,95,100,0.95,95.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250137658234145,78.99976530047061,0.1159,0.0677,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250149085702073,79.00072852253214,0.1089,0.0724,92,100,0.92,92.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250160507673773,79.00169174523609,0.0973,0.0955,59,100,0.59,59.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250171924149218,79.00265496858212,0.1049,0.0802,80,100,0.8,80.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250183335128394,79.00361819256995,0.1128,0.0784,94,100,0.94,94.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250194740611292,79.00458141719925,0.101,0.0983,60,100,0.6,60.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.25020614059789,79.00554464246972,0.097,0.0968,70,100,0.7,70.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.25021753508818,79.00650786838105,0.0936,0.0936,62,100,0.62,62.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.25022892408214,79.00747109493292,0.082,0.1398,12,100,0.12,12.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.25024030757976,79.00843432212504,0.09,0.1347,28,100,0.28,28.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.250251685581024,79.00939754995709,0.1171,0.0903,79,100,0.79,79.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250263058085906,79.01036077842878,0.1188,0.1101,65,100,0.65,65.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.25027442509441,79.01132400753977,0.1144,0.072,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250285786606508,79.01228723728978,0.1182,0.0896,84,100,0.84,84.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.25029714262218,79.01325046767847,0.1023,0.1208,57,100,0.57,57.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250308493141425,79.01421369870556,0.1201,0.0714,97,100,0.97,97.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.25031983816422,79.01517693037074,0.118,0.0727,98,100,0.98,98.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250331177690555,79.01614016267368,0.0929,0.1213,50,100,0.5,50.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250342511720405,79.01710339561409,0.1139,0.0971,74,100,0.74,74.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250353840253766,79.01806662919165,0.116,0.0996,80,100,0.8,80.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250365163290606,79.01902986340606,0.1166,0.0721,99,100,0.99,99.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250376480830933,79.01999309825699,0.1202,0.0723,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.25038779287472,79.02095633374417,0.1278,0.0767,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250399099421944,79.02191956986725,0.1305,0.0791,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.25041040047261,79.02288280662594,0.1212,0.0766,96,100,0.96,96.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250421696026677,79.02384604401995,0.1392,0.0774,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.25043298608415,79.02480928204893,0.1386,0.0821,99,100,0.99,99.0,High Built-up,2026-06-19,1.0,Sentinel-2
