Latitude,Longitude,NDVI_Mean,Green_Cover_Percent,Green_Cover_Area_m2,Green_Cover_Area_ha,Green_Cover_Class,B04_Red_Mean,B08_NIR_Mean,NDVI_Threshold,Satellite,Product,Scene_Date,Cloud_Cover_Percent,Grid_Size_m,Data_Source
21.249822,78.973373,0.140005,2.0,200.0,0.02,Low Green Cover,0.186234,0.248339,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249834,78.974336,0.078799,5.0,500.0,0.05,Low Green Cover,0.215929,0.252758,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249846,78.9753,0.105921,3.0,300.0,0.03,Low Green Cover,0.233479,0.28515,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249857,78.976263,0.128792,1.0,100.0,0.01,Low Green Cover,0.296413,0.381541,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249869,78.977226,0.226284,41.0,4100.0,0.41,Moderate Green Cover,0.27225,0.407966,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.24988,78.978189,0.292813,53.0,5300.0,0.53,High Green Cover,0.19476,0.355485,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249892,78.979153,0.149182,36.0,3600.0,0.36,Moderate Green Cover,0.182529,0.277776,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249903,78.980116,0.354876,78.0,7800.0,0.78,Very High Green Cover,0.17699,0.381568,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249915,78.981079,0.281192,44.0,4400.0,0.44,Moderate Green Cover,0.205343,0.363373,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249926,78.982042,0.257004,30.0,3000.0,0.3,Moderate Green Cover,0.21142,0.35602,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249938,78.983005,0.344335,72.0,7200.0,0.72,High Green Cover,0.183493,0.377572,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249949,78.983969,0.294886,58.0,5800.0,0.58,High Green Cover,0.201448,0.371534,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249961,78.984932,0.271021,37.0,3700.0,0.37,Moderate Green Cover,0.210687,0.363155,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249972,78.985895,0.220571,29.0,2900.0,0.29,Moderate Green Cover,0.246756,0.378358,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249984,78.986858,0.086493,0.0,0.0,0.0,No Green Cover,0.227914,0.277385,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249996,78.987821,0.111814,6.0,600.0,0.06,Low Green Cover,0.276961,0.343164,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250007,78.988785,0.111985,0.0,0.0,0.0,No Green Cover,0.264817,0.331032,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250018,78.989748,0.046943,0.0,0.0,0.0,No Green Cover,0.156153,0.180635,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.25003,78.990711,0.092666,4.0,400.0,0.04,Low Green Cover,0.184404,0.234825,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250041,78.991674,0.011741,0.0,0.0,0.0,No Green Cover,0.15061,0.166174,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250053,78.992637,0.142424,1.0,100.0,0.01,Low Green Cover,0.235118,0.316649,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250064,78.993601,0.101568,0.0,0.0,0.0,No Green Cover,0.305364,0.373237,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250076,78.994564,0.120481,4.0,400.0,0.04,Low Green Cover,0.287647,0.365287,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250087,78.995527,0.262444,36.0,3600.0,0.36,Moderate Green Cover,0.241582,0.407737,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250099,78.99649,0.358654,71.0,7100.0,0.71,High Green Cover,0.193867,0.404613,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.25011,78.997454,0.411726,96.0,9600.0,0.96,Very High Green Cover,0.157308,0.378876,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250122,78.998417,0.327151,63.0,6300.0,0.63,High Green Cover,0.172128,0.342842,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250133,78.99938,0.255697,27.0,2700.0,0.27,Moderate Green Cover,0.182147,0.309429,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250145,79.000343,0.324123,67.0,6700.0,0.67,High Green Cover,0.184508,0.358941,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.250156,79.001306,0.165071,17.0,1700.0,0.17,Low Green Cover,0.249043,0.343001,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
