Latitude,Longitude,Mean_NDBI,Mean_NDVI,BuiltUp_Pixel_Count,Valid_Pixel_Count,BuiltUp_Fraction,BuiltUp_Percent,BuiltUp_Class,Scene_Date,Cloud_Cover_Percent,Satellite
21.250126,78.998802,0.1075,0.0679,95,100,0.95,95.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250138,78.999765,0.1159,0.0677,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250149,79.000729,0.1089,0.0724,92,100,0.92,92.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250161,79.001692,0.0973,0.0955,59,100,0.59,59.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250172,79.002655,0.1049,0.0802,80,100,0.8,80.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250183,79.003618,0.1128,0.0784,94,100,0.94,94.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250195,79.004581,0.101,0.0983,60,100,0.6,60.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250206,79.005545,0.097,0.0968,70,100,0.7,70.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250218,79.006508,0.0936,0.0936,62,100,0.62,62.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250229,79.007471,0.082,0.1398,12,100,0.12,12.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.25024,79.008434,0.09,0.1347,28,100,0.28,28.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.250252,79.009398,0.1171,0.0903,79,100,0.79,79.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250263,79.010361,0.1188,0.1101,65,100,0.65,65.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250274,79.011324,0.1144,0.072,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250286,79.012287,0.1182,0.0896,84,100,0.84,84.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250297,79.01325,0.1023,0.1208,57,100,0.57,57.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250308,79.014214,0.1201,0.0714,97,100,0.97,97.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.25032,79.015177,0.118,0.0727,98,100,0.98,98.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250331,79.01614,0.0929,0.1213,50,100,0.5,50.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250343,79.017103,0.1139,0.0971,74,100,0.74,74.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250354,79.018067,0.116,0.0996,80,100,0.8,80.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250365,79.01903,0.1166,0.0721,99,100,0.99,99.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250376,79.019993,0.1202,0.0723,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250388,79.020956,0.1278,0.0767,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250399,79.02192,0.1305,0.0791,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.25041,79.022883,0.1212,0.0766,96,100,0.96,96.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250422,79.023846,0.1392,0.0774,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250433,79.024809,0.1386,0.0821,99,100,0.99,99.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250444,79.025773,0.1268,0.1135,60,100,0.6,60.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250456,79.026736,0.1208,0.0792,96,100,0.96,96.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250467,79.027699,0.117,0.0702,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250478,79.028662,0.1138,0.0699,93,100,0.93,93.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250489,79.029625,0.1094,0.0778,80,100,0.8,80.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250501,79.030589,0.1038,0.0891,68,100,0.68,68.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250512,79.031552,0.0786,0.1152,32,100,0.32,32.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.250523,79.032515,0.0806,0.0968,65,100,0.65,65.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250534,79.033478,0.0995,0.065,97,100,0.97,97.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250546,79.034442,0.0845,0.0914,73,100,0.73,73.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250557,79.035405,0.095,0.0928,72,100,0.72,72.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250568,79.036368,0.0998,0.1067,60,100,0.6,60.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250579,79.037331,0.1087,0.0752,96,100,0.96,96.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.25059,79.038295,0.1268,0.0875,88,100,0.88,88.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250602,79.039258,0.14,0.0852,97,100,0.97,97.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250613,79.040221,0.1305,0.0843,89,100,0.89,89.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250624,79.041184,0.1305,0.0667,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250635,79.042148,0.1197,0.0729,93,100,0.93,93.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250646,79.043111,0.109,0.0729,82,100,0.82,82.0,High Built-up,2026-06-19,1.0,Sentinel-2
