geometry,leisure,name,addr:city,addr:postcode,addr:street,survey:date,created_by,name:etymology:wikidata,operator,description,opening_hours,name:mr,playground,tourism,wikipedia,barrier,dog,ele,official_name,smoking,landuse,name:ur,surface,access,note,addr:district,type,Latitude,Longitude,Region
"POLYGON ((79.111273 21.139912, 79.111886 21.13984, 79.111894 21.139735, 79.112081 21.139735, 79.112081 21.139645, 79.111772 21.139666, 79.111794 21.139148, 79.111607 21.139141, 79.111472 21.13919, 79.111353 21.139051, 79.111271 21.139053, 79.11116 21.139393, 79.111047 21.139519, 79.111146 21.139635, 79.111226 21.139768, 79.111273 21.139912))",park,Khode Udyan,,,,,,,,,,,,,,,,,,,,,,,,,,21.13951839034678,79.11149919309352,Central
"POLYGON ((79.110501 21.1393, 79.110625 21.139285, 79.11076 21.139141, 79.110953 21.138899, 79.110849 21.138794, 79.110449 21.138804, 79.110443 21.139004, 79.110471 21.139166, 79.110485 21.139215, 79.110501 21.1393))",park,Tulsi Udyan,,,,,,,,,,,,,,,,,,,,,,,,,,21.13900295894327,79.11065111529668,Central
"POLYGON ((79.145312 21.154601, 79.147527 21.154681, 79.147565 21.153011, 79.145381 21.152931, 79.145312 21.154601))",park,Lata Mangeshkar Udyan,,,,,,Q156347,,,,,,,,,,,,,,,,,,,,21.15380796561112,79.14644618622813,East
"POLYGON ((79.046607 21.108341, 79.046445 21.107705, 79.047068 21.107435, 79.047336 21.108501, 79.047025 21.108546, 79.046876 21.108564, 79.046799 21.108425, 79.046687 21.108368, 79.046607 21.108341))",park,Aaji Ajoba Park - Deendayal Nagar Garden,,,,,,,,,,,,,,,,,,,,,,,,,,21.108030555794784,79.04689924914094,West
"POLYGON ((79.047328 21.109829, 79.047147 21.109117, 79.047534 21.109031, 79.047715 21.109744, 79.047328 21.109829))",park,Deendayal Nagar Park,,,,,,,,,,,play area,,,,,,,,,,,,,,,21.10943019985695,79.04743129979059,West
"POLYGON ((79.074452 21.145071, 79.077094 21.144208, 79.077955 21.14397, 79.079719 21.143516, 79.079719 21.143226, 79.079334 21.143226, 79.079138 21.143195, 79.078698 21.143378, 79.078469 21.143346, 79.078274 21.143174, 79.077854 21.142855, 79.077183 21.14237, 79.076378 21.1423, 79.075535 21.14243, 79.075117 21.142749, 79.073825 21.143144, 79.074047 21.143901, 79.074251 21.144091, 79.074389 21.14422, 79.074579 21.14448, 79.074623 21.144746, 79.074452 21.145071))",park,Maharaj Bagh,,,,,,,,,,,,zoo,en:Maharajbagh zoo,,,,,,,,,,,,,21.143520299210017,79.07625456118515,Central
"POLYGON ((79.055435 21.138849, 79.05659 21.137851, 79.056027 21.137292, 79.055312 21.137, 79.054948 21.137884, 79.054997 21.138364, 79.055435 21.138849))",park,Shivaji Nagar Park,,,,,,,,,,,,,,,,,,,,,,,,,,21.137892129787417,79.05563351423973,Central
"POLYGON ((79.053017 21.122026, 79.052916 21.121432, 79.052306 21.121522, 79.052406 21.122116, 79.053017 21.122026))",park,Maharashtra Remote Sensing Application Center (MRSAC),,,,,,,,,,,,,,,,,,,,,,,,,,21.121774377670633,79.05266144181253,West
"POLYGON ((79.046226 21.128779, 79.047092 21.128667, 79.046757 21.128322, 79.04674 21.128185, 79.045777 21.127256, 79.045532 21.127019, 79.04536 21.127157, 79.045893 21.12813, 79.046134 21.128795, 79.046179 21.128794, 79.046226 21.128779))",park,Krazy Casle amusement Park,,,,,,,,,,,,,,,,,,,,,,,,,,21.128056974361797,79.04617923204222,West
"POLYGON ((79.118314 21.129142, 79.11752 21.129158, 79.117509 21.128698, 79.118303 21.128682, 79.118314 21.129142))",park,Green Gym,,,,,,,,,,,,,,,,,,,,,,,,,,21.128919825767454,79.11791138557321,Central
"POLYGON ((79.117843 21.135884, 79.11871 21.135878, 79.118716 21.135045, 79.118532 21.135045, 79.118404 21.135135, 79.118342 21.135057, 79.117842 21.135059, 79.117843 21.135884))",park,Trishatabdi Park,Nagpur,,,,,,Nagpur Improvement Trust,,,,,,,wall,,,,,,,,,,,,21.135471118504658,79.1182767297715,Central
"POLYGON ((79.140503 21.146602, 79.141704 21.146597, 79.14171 21.147448, 79.140572 21.147448, 79.140503 21.146602))",park,,,,,,,,,,,,,,,,,,,,,,,,,,,21.147019981435616,79.14112288641535,East
"POLYGON ((79.05146 21.154947, 79.050898 21.154439, 79.049716 21.154456, 79.048743 21.15445, 79.04865 21.154471, 79.048701 21.155884, 79.049793 21.155942, 79.051094 21.155648, 79.051572 21.155072, 79.05146 21.154947))",park,Telankhedi Garden,,,,,,,,,,,,,,,,,,,,,,,,,,21.15514953843316,79.0499428310494,West
"POLYGON ((79.066408 21.120159, 79.068314 21.120266, 79.068319 21.120828, 79.066446 21.121385, 79.066429 21.120805, 79.066408 21.120159))",park,,,,,,,,,,,,,,,,,,,,,,,,,,,21.120672569858208,79.0672550790817,Central
"POLYGON ((79.037008 21.1148, 79.038297 21.114238, 79.037957 21.113583, 79.038493 21.1134, 79.038425 21.113186, 79.037037 21.113408, 79.036782 21.113368, 79.036798 21.113535, 79.036508 21.113811, 79.036709 21.114224, 79.037008 21.1148))",park,,,,,,,,,,,,,,,,,,,,,,,,,,,21.11393133777993,79.03743628289673,West
"POLYGON ((79.093192 21.164016, 79.094372 21.164083, 79.094368 21.164115, 79.094295 21.164826, 79.093133 21.164742, 79.093192 21.164016))",park,Railway Football Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,21.16441626443451,79.09375016127615,Central
"POLYGON ((79.045636 21.135237, 79.044579 21.135017, 79.044375 21.134612, 79.043592 21.13473, 79.043418 21.134627, 79.043083 21.134502, 79.042915 21.134547, 79.042872 21.134401, 79.042912 21.133892, 79.042999 21.133595, 79.043239 21.133206, 79.043475 21.132897, 79.043741 21.132683, 79.044047 21.132663, 79.044382 21.132731, 79.044558 21.132826, 79.0447 21.133078, 79.044862 21.133355, 79.04499 21.133424, 79.045012 21.133413, 79.045159 21.13334, 79.045246 21.1333, 79.045685 21.133028, 79.046747 21.132653, 79.046778 21.133169, 79.046622 21.133599, 79.046126 21.134467, 79.045636 21.135237))",park,Ambazari Garden,Nagpur,440010,,,,,,,sunrise-sunset,,,,,,leashed,350,आद्य क्रांतिगुरू लहुजी साळवे उद्यान,no,,,,,,,,21.133869088291288,79.04479657241002,West
"POLYGON ((79.048838 21.131928, 79.048919 21.133031, 79.048479 21.133018, 79.048155 21.132832, 79.04804 21.132054, 79.048838 21.131928))",park,,,,,,,,,,,,,,,,,,,,,,,,,,,21.132480981607905,79.04851008763505,West
"POLYGON ((79.112808 21.166979, 79.113274 21.16714, 79.113795 21.167319, 79.113709 21.166339, 79.112647 21.166199, 79.11136 21.165839, 79.11156 21.16748, 79.112295 21.167752, 79.112497 21.167825, 79.112808 21.166979))",park,Dr. Babashaheb Ambedkar Udhyan,Nagpur,440017,"Vaishali Nagar Rd, Vaishali Nagar",,,Q231690,,,,,,,,,,,,,,,,,,,,21.166781507825956,79.11243912667788,Central
"POLYGON ((79.101964 21.171636, 79.103337 21.171877, 79.103015 21.173257, 79.101631 21.172477, 79.101964 21.171636))",park,Buddhanagar Park ( Unit no. 2 ),,,,,,,,,,,,,,,,,,,,,,,,,,21.17234055161162,79.10253373885786,Central
"POLYGON ((79.118546 21.171244, 79.118756 21.172038, 79.119736 21.171752, 79.119486 21.171055, 79.118546 21.171244))",park,Anand Nagar Garden,,,,,,,,,,,,,,,,,,,,,,,,,,21.171528746396163,79.11912350857142,East
"POLYGON ((79.113054 21.118729, 79.112165 21.117742, 79.113069 21.117722, 79.113178 21.117838, 79.11358 21.11821, 79.114423 21.11906, 79.114438 21.119083, 79.114439 21.11913, 79.114379 21.119207, 79.114254 21.119322, 79.114038 21.119499, 79.113879 21.119551, 79.113707 21.119594, 79.113482 21.119586, 79.112983 21.119551, 79.113054 21.118729))",park,Sant Dnyaneshwar Park,Nagpur,440024,"Dattatray Nagar, Ayodhya nagar",,,Q1033695,,,,,,,,,,,,,,,,,,,,21.118704611691097,79.11338172516983,Central
"POLYGON ((79.069784 21.115868, 79.070644 21.11566, 79.07112 21.117076, 79.070279 21.116278, 79.069784 21.115868))",park,Vivekanand Nagar NIT Garden,,,,,,,,,,,,,,,,,,,,,,,,,,21.116193173495144,79.07052047074288,Central
"POLYGON ((79.05941 21.115775, 79.060414 21.11565, 79.060216 21.11496, 79.059428 21.115123, 79.059423 21.115662, 79.05941 21.115775))",park,Atrey Layout Ground,,,,,,,,,,,,,,,,,,,,,,,,,,21.11538795568577,79.05987928830278,South
"POLYGON ((79.10119 21.129183, 79.101594 21.128542, 79.102238 21.12848, 79.102297 21.129323, 79.101238 21.129596, 79.101152 21.129306, 79.10115 21.129261, 79.10116 21.12922, 79.10119 21.129183))",park,,,,,,,,,,,,,,,,,,,,,,,,,,,21.129037525039116,79.10176389200241,Central
"POLYGON ((79.114217 21.109835, 79.114794 21.11039, 79.115234 21.110005, 79.114459 21.109177, 79.114394 21.109227, 79.114161 21.10979, 79.114217 21.109835))",park,,,,,,,,,,,,,,,,,,,,,,,,,,,21.10981495389874,79.11465861617559,South
"POLYGON ((79.12107 21.109032, 79.120451 21.108416, 79.12155 21.108724, 79.121129 21.109094, 79.12107 21.109032))",park,,,,,,,,,,,,,,,,,,,,,,,,,,,21.10874407228585,79.12104421967165,South
"POLYGON ((79.11235 21.109908, 79.112863 21.1104, 79.113278 21.110015, 79.112565 21.109419, 79.11235 21.109908))",park,,,,,,,,,,,,,,,,,,,,,,,,,,,21.10993027360549,79.11277653513905,South
"POLYGON ((79.075679 21.137346, 79.07703 21.137772, 79.076586 21.136691, 79.076409 21.136631, 79.075824 21.136431, 79.075679 21.137346))",park,Dagdi Park,,,,,,,,,,दगडी पार्क,,,,,,,,,,,,,,,,21.13710595940967,79.07628407574532,Central
"POLYGON ((79.12355 21.124029, 79.122634 21.124146, 79.122574 21.123732, 79.12349 21.123615, 79.12355 21.124029))",park,,,,,,,,,,,,,,,,,,,,,,,,,,,21.123880450544274,79.12306185004927,East
"POLYGON ((79.075829 21.147878, 79.07653 21.148103, 79.076858 21.148228, 79.077067 21.148173, 79.077262 21.148074, 79.077278 21.147253, 79.076859 21.147093, 79.076403 21.147128, 79.076087 21.147213, 79.075824 21.147593, 79.075829 21.147878))",park,,,,,,,,,,,,,,,,,,,,recreation_ground,,,,,,,21.147633809185248,79.07661980063625,Central
"POLYGON ((79.101294 21.107378, 79.101787 21.107317, 79.10145 21.106122, 79.101316 21.106132, 79.101278 21.107107, 79.101294 21.107378))",park,,,,,,,,,,,,,,,,,,,,,,,,,,,21.10685440015631,79.10147095250845,South
"POLYGON ((79.095581 21.10993, 79.096487 21.10983, 79.096461 21.109524, 79.095839 21.109539, 79.095592 21.109579, 79.095581 21.10993))",park,,,,,,,,,,,,,,,,,,,,,,,,,,,21.109711687234,79.09601901836136,South
"POLYGON ((79.084244 21.124096, 79.085188 21.123723, 79.084992 21.123281, 79.084338 21.123535, 79.08403 21.123654, 79.084244 21.124096))",park,,,,,,,,,,,,,,,,,,,,,,,,,,,21.123688157662656,79.08461230493985,Central
"POLYGON ((79.068797 21.097186, 79.069778 21.097206, 79.069687 21.096966, 79.068797 21.097186))",park,,,,,,,,,,,,,,,,,,,,,,,,,,,21.097119167254863,79.06942086673469,South
"POLYGON ((79.115479 21.136692, 79.114074 21.136866, 79.114082 21.136413, 79.115446 21.136291, 79.115479 21.136692))",park,,,,,,,,,,,,,,,,,,,,,,,,,,,21.136567820821995,79.11475766414912,Central
"POLYGON ((79.071858 21.135287, 79.071725 21.136116, 79.069456 21.135635, 79.069397 21.135265, 79.071869 21.135212, 79.071858 21.135287))",park,Lendhra Park,Nagpur,440010,Ramdaspeth,,,,,,,,,,,,,,,,,,,,,,,21.13556894664151,79.07078250391599,Central
"POLYGON ((79.060648 21.164388, 79.060792 21.164378, 79.060849 21.16424, 79.06082 21.164159, 79.060768 21.163715, 79.060845 21.163701, 79.060925 21.163646, 79.060997 21.163624, 79.061011 21.163564, 79.060902 21.163497, 79.060816 21.163454, 79.06069 21.163287, 79.060831 21.163109, 79.060731 21.162941, 79.060632 21.162953, 79.060458 21.16331, 79.060443 21.16336, 79.060427 21.163416, 79.06032 21.163789, 79.060467 21.1642, 79.060648 21.164388))",park,,,,,,,,,,,,,,,,,,,,,,,,,,,21.16370536410374,79.06062768302053,Central
"POLYGON ((79.060787 21.164817, 79.060787 21.164602, 79.060804 21.164414, 79.060792 21.164378, 79.060648 21.164388, 79.060463 21.164196, 79.06032 21.163789, 79.060131 21.164544, 79.060716 21.164799, 79.060787 21.164817))",park,,,,,,,,,,,,,,,,,,,,,,,,,,,21.16441702603577,79.06045958184087,Central
"POLYGON ((79.060831 21.163109, 79.061138 21.163122, 79.061558 21.16327, 79.061621 21.16348, 79.061644 21.163594, 79.061547 21.163668, 79.061457 21.163669, 79.061458 21.163781, 79.061506 21.163836, 79.061491 21.164257, 79.061598 21.164274, 79.061594 21.164312, 79.061697 21.16435, 79.061693 21.164473, 79.061788 21.164478, 79.061793 21.164386, 79.061981 21.164373, 79.062242 21.164334, 79.061971 21.163408, 79.061663 21.163196, 79.061279 21.163004, 79.060893 21.162921, 79.060731 21.162941, 79.060831 21.163109))",park,,,,,,,,,,,,,,,,,,,,,,,,,,,21.163748014849034,79.06169972590368,Central
"POLYGON ((79.105876 21.164962, 79.106171 21.165062, 79.106281 21.165094, 79.106361 21.164907, 79.106415 21.164734, 79.106246 21.164674, 79.106249 21.164627, 79.106147 21.164599, 79.106147 21.164577, 79.106155 21.164547, 79.106037 21.164497, 79.105876 21.164962))",park,park of kd,,,,,,,,,,,,,,,,,,,,,,,,,,21.164821476480377,79.10614258907535,Central
"POLYGON ((79.066235 21.140557, 79.066999 21.141004, 79.067312 21.141122, 79.067719 21.140352, 79.067442 21.140132, 79.066312 21.139829, 79.06606 21.139757, 79.06569 21.139912, 79.06593 21.140242, 79.066076 21.140436, 79.066235 21.140557))",park,Children Traffic Park,,,,,,,,,,,,,,,,,,,,,,,,,,21.140375780703796,79.06677064330864,Central
"POLYGON ((79.098882 21.14711, 79.09894 21.147069, 79.098994 21.147, 79.099038 21.146896, 79.09906 21.146782, 79.099057 21.146705, 79.098942 21.146606, 79.098836 21.146591, 79.098743 21.146596, 79.098659 21.146634, 79.098585 21.146693, 79.098539 21.146774, 79.098514 21.146881, 79.098514 21.146962, 79.09852 21.147038, 79.098555 21.147097, 79.098632 21.14714, 79.098722 21.147148, 79.098749 21.147148, 79.098773 21.147214, 79.098801 21.147331, 79.098833 21.147498, 79.098839 21.147631, 79.098839 21.147717, 79.098975 21.147704, 79.098978 21.14759, 79.098959 21.147496, 79.098945 21.147394, 79.098896 21.147188, 79.098882 21.14711))",park,Bhauji Page Udyan,,,,,,,,,,,,,,,,,,,,,,,,,,21.147001620949858,79.09880309151224,Central
"POLYGON ((79.115666 21.168904, 79.115545 21.168495, 79.116173 21.16832, 79.116128 21.168863, 79.115666 21.168904))",park,NIT Park,Nagpur,440017,Vaishali Nagar,,,,,,,,,,,,,,,,,,,,,,,21.168630774202022,79.11588654440443,Central
"POLYGON ((79.057382 21.15178, 79.057354 21.151366, 79.058026 21.151211, 79.058134 21.151582, 79.057382 21.15178))",park,Ravi nagar park,,,,,,,,,,,,,,,,,,,,,,,,,,21.15148931633768,79.05772107712316,Central
"POLYGON ((79.059959 21.134569, 79.059981 21.134497, 79.060171 21.134025, 79.060298 21.133722, 79.060622 21.133809, 79.061191 21.133996, 79.060854 21.134963, 79.060838 21.134983, 79.060775 21.134968, 79.059959 21.134569))",park,Shankar Nagar Park,,,,,,,,,,,,,,,,,,,,,,,,,,21.134326062615234,79.0605806523891,Central
"POLYGON ((79.068623 21.153654, 79.069685 21.153484, 79.069631 21.154199, 79.069058 21.154009, 79.068623 21.153654))",park,Divisional Commissioner Office Compound,,,,,,,,,,,,,,,,,,,,,,,,,,21.153803210917584,79.06928404864885,Central
"POLYGON ((79.068666 21.15518, 79.06851 21.153754, 79.068816 21.153929, 79.069041 21.154209, 79.069192 21.154604, 79.069245 21.155175, 79.068666 21.15518))",park,Divisional Commissioner Office Compound,,,,,,,,,,,,,,,,,,,,,,,,,,21.154575566070516,79.06886198615501,Central
"POLYGON ((79.064121 21.161581, 79.064602 21.161259, 79.066327 21.161397, 79.066598 21.162041, 79.067486 21.162684, 79.068188 21.163903, 79.069088 21.164822, 79.06726 21.164429, 79.067154 21.163562, 79.065428 21.162317, 79.064121 21.161581))",park,Japenese Garden,,,,,,,,,,,,,,,,,,,meadow,جاپانی باغ,,,,,,21.162782157550847,79.06661933256873,Central
"POLYGON ((79.083501 21.131001, 79.084148 21.130935, 79.084012 21.130357, 79.083664 21.130383, 79.083422 21.130441, 79.083439 21.130795, 79.083501 21.131001))",park,Congress Nagar Park,,440012,,,,,,,,,,,,,,,,,,,,,,,,21.130683069146905,79.08376444278339,Central
"POLYGON ((79.107591 21.125904, 79.107299 21.125911, 79.107176 21.125918, 79.106905 21.125877, 79.106876 21.126073, 79.106637 21.126227, 79.107372 21.126479, 79.107591 21.125904))",park,Shahid Raju Shahu Park,,,,,,,,,,,,,,,,,,,,,,,,,,21.12614694579847,79.107166562215,Central
"POLYGON ((79.13339 21.125514, 79.133796 21.12608, 79.133835 21.126088, 79.133863 21.126058, 79.133802 21.125932, 79.133693 21.125709, 79.133596 21.125508, 79.133606 21.12544, 79.133496 21.125364, 79.13339 21.125514))",park,Park,,,,,,,,,,,,,,,,,,,,,,,,,,21.1256948274308,79.13361263911997,East
"POLYGON ((79.13292 21.126474, 79.133061 21.126398, 79.132897 21.126173, 79.132825 21.126181, 79.13292 21.126474))",park,Swing Park,,,,,,,,,,,,,,,,,,,,,,,,,,21.12632434288554,79.13293313742703,East
"POLYGON ((79.133473 21.12255, 79.133478 21.122313, 79.133674 21.122308, 79.133664 21.122612, 79.133473 21.12255))",park,Gadge Nagar Recreational Park,,,,,,,,,,,,,,,,,,,,,,,,,,21.122446105097026,79.13357625228983,East
"POLYGON ((79.071404 21.12184, 79.071988 21.121997, 79.072101 21.12168, 79.072026 21.121572, 79.071943 21.121527, 79.071522 21.121527, 79.071404 21.12184))",park,,,,,,,,,,,,,,,,,,,,,,,,,,,21.121734430387207,79.07177108710499,Central
"POLYGON ((79.075586 21.14386, 79.075558 21.143833, 79.075542 21.143803, 79.075546 21.143762, 79.07556 21.143725, 79.075592 21.143696, 79.075633 21.143681, 79.075688 21.14369, 79.075726 21.14373, 79.075754 21.143764, 79.07575 21.1438, 79.075739 21.143826, 79.075723 21.14385, 79.075692 21.143866, 79.075652 21.143873, 79.07562 21.143869, 79.075586 21.14386))",park,Elephant statue,,,,,,,,Black Elephant statue depicting the Maharaja's mode of transportation,,,,,,,,,,,,,grass,,,,,21.14377996329268,79.07564611752116,Central
"POLYGON ((79.076874 21.161736, 79.077004 21.162147, 79.075702 21.162361, 79.075624 21.162096, 79.07632 21.161893, 79.076874 21.161736))",park,Tuta Bagicha,,,,,,,,An open public playground on one end & a public garden park with benches on the other end.,,,,,,,,,,,,,,,,,,21.162074244793132,79.07634713584284,Central
"POLYGON ((79.113396 21.116682, 79.113565 21.116867, 79.113752 21.11671, 79.113576 21.116517, 79.113396 21.116682))",park,,,,,,,,,,,,,,,,,,,,,,,,,,,21.116693607198425,79.11357280291848,South
"POLYGON ((79.05142 21.121582, 79.051438 21.12171, 79.051547 21.122567, 79.05275 21.122323, 79.052867 21.122307, 79.053276 21.122219, 79.053201 21.121452, 79.052255 21.121521, 79.05142 21.121582))",park,VNIT Parking Garden,Nagpur,440010,,,,,VNIT,,Mo-Su 05:00-22:00,,,,,,leashed,,,no,,,,,,,,21.12195898722026,79.05232488132884,West
"POLYGON ((79.05133 21.121583, 79.051447 21.122587, 79.050872 21.122668, 79.050574 21.122696, 79.050236 21.12272, 79.049519 21.122811, 79.049486 21.121826, 79.049478 21.121707, 79.049633 21.121691, 79.05002 21.121644, 79.050462 21.121591, 79.05133 21.121583))",park,VNIT Main Gate Garden,Nagpur,440010,,,,,VNIT,,,,,,,,,,,,,,,,,,,21.122165886264423,79.05043338762172,West
"POLYGON ((79.062057 21.143519, 79.061954 21.143022, 79.061976 21.14302, 79.062068 21.143012, 79.063045 21.142923, 79.06302 21.142941, 79.06244 21.143352, 79.06219 21.143541, 79.062057 21.143519))",park,Trikoni Park,,,,,,,,,,,,,,,,,,,,,,,,,,21.143180568788353,79.06236197960774,Central
"POLYGON ((79.111279 21.109576, 79.111478 21.109571, 79.111737 21.108901, 79.111202 21.108968, 79.111279 21.109576))",park,Udaynagar Park,Nagpur,,,,,,Nagpur Muncipal Corpuration,,,,,,,,,,,,,,,,,,,21.109205340152812,79.11143198094862,South
"POLYGON ((79.114939 21.130428, 79.115093 21.130443, 79.115135 21.130404, 79.115026 21.130315, 79.114975 21.130313, 79.11485 21.130416, 79.114939 21.130428))",park,,,,,,,,,,,,,,,,,,,,,,,,,,,21.130385519682164,79.11500214746961,Central
"POLYGON ((79.117716 21.105476, 79.117898 21.105457, 79.117922 21.10521, 79.117965 21.104768, 79.117627 21.104731, 79.117675 21.105046, 79.117716 21.105476))",park,Bhagyashrinagar Park,,,,,,,Nagpur Improvement Trust,,,,,,,wall,,,,,,,,,,,,21.105071940850436,79.11780231772552,South
"POLYGON ((79.11782 21.10238, 79.118407 21.102372, 79.118509 21.10225, 79.118498 21.101864, 79.117795 21.10201, 79.11782 21.10238))",park,,,,,,,,,,,,,,,,,,,,,,,,,,,21.10214976306772,79.11816767491045,South
"POLYGON ((79.122646 21.107267, 79.12274 21.106787, 79.121991 21.106772, 79.121852 21.107129, 79.122224 21.107202, 79.122646 21.107267))",park,Mhalgi Nagar Park,,,,,,,,,,,,,,wall,,,,,,,,,,,,21.106995890457853,79.12232286619555,South
