osmid,highway,oneway,reversed,length,name,ref,lanes,bridge,geometry,access,maxspeed,junction,tunnel,width,Latitude,Longitude,Region
313828252,residential,False,True,39.48406492918807,,,,,"LINESTRING (79.119123 21.117588, 79.11942 21.117367)",,,,,,21.117477500074322,79.11927140010843,East
313830070,residential,False,False,123.55241427512138,,,,,"LINESTRING (79.119123 21.117588, 79.119477 21.117989, 79.11952 21.118144, 79.119572 21.118573)",,,,,,21.118049638204262,79.11942378730025,East
313828161,residential,False,True,49.01942324285859,,,,,"LINESTRING (79.117167 21.113443, 79.117194 21.113883)",,,,,,21.113663150001738,79.11718039999354,South
313828161,residential,False,False,28.7131173249756,,,,,"LINESTRING (79.117167 21.113443, 79.117165 21.113241, 79.117163 21.113185)",,,,,,21.113313994883583,79.11716538951868,South
"[313830090, 1425250146]",residential,False,"[False, True]",164.50214614334627,,,,,"LINESTRING (79.117167 21.113443, 79.116886 21.113675, 79.116019 21.114464)",,,,,,21.11394873820932,79.11658830968858,South
313830056,residential,False,False,40.58674375291774,,,,,"LINESTRING (79.113385 21.112512, 79.113656 21.112249)",,,,,,21.112380950064228,79.11352050011995,South
313830109,residential,False,False,99.59247306862213,,,,,"LINESTRING (79.113385 21.112512, 79.114068 21.113142)",,,,,,21.112827000296257,79.11372664927808,South
313830109,residential,False,True,42.88584930122106,,,,,"LINESTRING (79.113385 21.112512, 79.113093 21.112239)",,,,,,21.112375750053726,79.11323914986633,South
313828141,residential,False,False,34.736443870241615,,,,,"LINESTRING (79.11388 21.110048, 79.114117 21.109828)",,,,,,21.10993800004875,79.11399855008763,South
313828141,residential,False,True,41.91595838729342,,,,,"LINESTRING (79.11388 21.110048, 79.113594 21.110314)",,,,,,21.11018140007097,79.11373695012759,South
313830094,residential,False,True,38.11995308069606,,,,,"LINESTRING (79.11388 21.110048, 79.113621 21.109805)",,,,,,21.109926700042408,79.11375049989442,South
313830094,residential,False,False,126.8188637070555,,,,,"LINESTRING (79.11388 21.110048, 79.114212 21.110377, 79.114719 21.110878)",,,,,,21.110463261306624,79.11429928662612,South
313830083,residential,False,False,47.323882467211845,,,,,"LINESTRING (79.122947 21.117676, 79.122677 21.117333)",,,,,,21.11750430004379,79.12281189984853,East
313830083,residential,False,True,96.83429786069036,,,,,"LINESTRING (79.122947 21.117676, 79.12219 21.118186)",,,,,,21.11793110047434,79.12256860063013,East
371837461,residential,False,False,72.64940515678782,,,,,"LINESTRING (79.122947 21.117676, 79.123239 21.118042, 79.123398 21.117913)",,,,,,21.11789489963856,79.1231607071833,East
313830066,residential,False,False,43.700973417994184,,,,,"LINESTRING (79.115172 21.113173, 79.114875 21.112894)",,,,,,21.113033100055567,79.11502364986126,South
313830068,residential,False,False,38.928719429321596,,,,,"LINESTRING (79.115172 21.113173, 79.115436 21.113422)",,,,,,21.11329725004394,79.11530374988993,South
313830105,residential,False,False,103.48507011752986,,,,,"LINESTRING (79.115172 21.113173, 79.115877 21.112514)",,,,,,21.112843600431532,79.11552455077798,South
313830105,residential,False,True,40.20319225526137,,,,,"LINESTRING (79.115172 21.113173, 79.114894 21.113425)",,,,,,21.11329895006649,79.11503320011715,South
313830099,residential,False,False,56.12708124850127,,,,,"LINESTRING (79.118274 21.113779, 79.118812 21.11373)",,,,,,21.113754250217408,79.1185432500265,South
1060961350,residential,False,True,27.81280394571193,,,,,"LINESTRING (79.118274 21.113779, 79.118006 21.113793)",,,,,,21.113785950053373,79.11814015000185,South
"[313830099, 313830061]",residential,False,"[False, True]",65.31527841466229,,,,,"LINESTRING (79.118274 21.113779, 79.118291 21.113935, 79.118404 21.114031, 79.118455 21.114314)",,,,,,21.114042154556756,79.1183703341291,South
313830069,residential,False,False,240.21637157639623,,,,,"LINESTRING (79.122421 21.120169, 79.120948 21.118503)",,,,,,21.119336051333946,79.12168459594308,East
849016812,residential,False,False,59.39954758223148,,,,,"LINESTRING (79.122421 21.120169, 79.122777 21.120588)",,,,,,21.120378650077313,79.12259924975471,East
849016812,residential,False,True,191.4844960884232,,,,,"LINESTRING (79.122421 21.120169, 79.12102 21.121291)",,,,,,21.120730101663447,79.12172080260163,East
313830069,residential,False,True,262.7378195934397,,,,,"LINESTRING (79.122421 21.120169, 79.123739 21.119093, 79.124083 21.118856, 79.124374 21.118668)",,,,,,21.119398755465866,79.12338087369491,East
313830055,residential,False,True,22.320271820266083,,,,,"LINESTRING (79.116861 21.113462, 79.116708 21.11332)",,,,,,21.113390800014688,79.11678454996377,South
313828147,residential,False,False,81.49630039383914,,,,,"LINESTRING (79.114894 21.113425, 79.114329 21.112917)",,,,,,21.113171000203806,79.11461154951596,South
313828147,residential,False,True,57.94327494611738,,,,,"LINESTRING (79.114894 21.113425, 79.1153 21.113783)",,,,,,21.11360420010513,79.11509744975515,South
313830105,residential,False,False,40.20319225526137,,,,,"LINESTRING (79.114894 21.113425, 79.115172 21.113173)",,,,,,21.11329895006649,79.11503320011715,South
313830055,residential,False,False,41.32209631980327,,,,,"LINESTRING (79.115877 21.112514, 79.116154 21.112782)",,,,,,21.11264835004806,79.11601534987632,South
313830055,residential,False,True,39.038138459591565,,,,,"LINESTRING (79.115877 21.112514, 79.11561 21.112267)",,,,,,21.112390650045057,79.11574384988916,South
313830105,residential,False,False,38.77988744902062,,,,,"LINESTRING (79.115877 21.112514, 79.116146 21.112272)",,,,,,21.112393500062492,79.11601180010885,South
313830105,residential,False,True,103.48507011752986,,,,,"LINESTRING (79.115877 21.112514, 79.115172 21.113173)",,,,,,21.112843600431532,79.11552455077798,South
313830054,residential,False,True,80.13016122094065,,,,,"LINESTRING (79.11233 21.110464, 79.111768 21.110958)",,,,,,21.11071070027149,79.11204950046339,South
313830066,residential,False,False,35.811968603847355,,,,,"LINESTRING (79.11233 21.110464, 79.112088 21.110234)",,,,,,21.110348700037,79.1122094499069,South
313830066,residential,False,True,43.72278089446707,,,,,"LINESTRING (79.11233 21.110464, 79.112626 21.110744)",,,,,,21.110603650055157,79.11247829986121,South
313830066,residential,False,False,36.990074093604136,,,,,"LINESTRING (79.113384 21.111468, 79.113135 21.111229)",,,,,,21.11134840003898,79.11325934990079,South
313830066,residential,False,True,40.54396594811358,,,,,"LINESTRING (79.113384 21.111468, 79.113656 21.111729)",,,,,,21.11159825004684,79.1135199998808,South
313830088,residential,False,False,81.82384602937918,,,,,"LINESTRING (79.113384 21.111468, 79.112829 21.11199)",,,,,,21.11172905026767,79.1131062004867,South
313830088,residential,False,True,41.587761777653505,,,,,"LINESTRING (79.113384 21.111468, 79.113686 21.111221)",,,,,,21.111344500077415,79.11353460012317,South
314123072,trunk_link,True,False,46.51745219673961,,,,,"LINESTRING (79.081179 21.152928, 79.081302 21.152817, 79.081429 21.152783, 79.081573 21.152771)",,,,,,21.1528203152227,79.08136141164636,Central
779094517,trunk,True,False,25.1814770543115,,NH47;NH53,,,"LINESTRING (79.081179 21.152928, 79.081124 21.152732, 79.081118 21.152709)",,,,,,21.152818798168614,79.08114810745798,Central
27168400,primary,True,False,345.14894445483225,RBI Road,,,,"LINESTRING (79.081573 21.152771, 79.082499 21.15306, 79.082806 21.153176, 79.083697 21.153703, 79.084246 21.15413, 79.084437 21.154281)",,,,,,21.153413676789945,79.0830715785427,Central
202257917,residential,False,True,22.466810718488357,,,,,"LINESTRING (79.051179 21.163541, 79.051107 21.16335)",,,,,,21.163445750002573,79.05114319997922,West
314125404,residential,False,True,131.2231345611388,,,,,"LINESTRING (79.051179 21.163541, 79.05005 21.164074)",,,,,,21.163807451024983,79.0506147509497,West
202257917,residential,False,False,252.39339223959846,,,,,"LINESTRING (79.051179 21.163541, 79.051356 21.163992, 79.050559 21.164235, 79.050503 21.164269, 79.050481 21.164334, 79.050454 21.165211)",,,,,,21.164303824162385,79.05080841781644,West
314125404,residential,False,False,76.3159556117859,,,,,"LINESTRING (79.051179 21.163541, 79.051473 21.163413, 79.051885 21.163403)",,,,,,21.163438456548086,79.05152369747518,West
314125384,tertiary,False,False,66.42603328487615,,,,,"LINESTRING (79.079534 21.163941, 79.078935 21.164155)",,,,,,21.164047850281648,79.07923450019533,Central
503496416,primary,True,False,264.7093139052741,Koradi Road,NH47,,,"LINESTRING (79.079534 21.163941, 79.079503 21.164943, 79.079431 21.165323, 79.079267 21.165693, 79.079024 21.16624)",,40,,,,21.165112569411647,79.07938867648039,Central
314125402,tertiary,False,False,80.28028836097067,,,,,"LINESTRING (79.076782 21.170303, 79.076928 21.1704, 79.077101 21.170403, 79.077505 21.170291)",,,,,,21.17036009764717,79.07713485774988,Central
314125402,tertiary,False,True,17.643314887902044,,,,,"LINESTRING (79.076782 21.170303, 79.076716 21.170275, 79.076641 21.170216)",,,,,,21.170263973353563,79.0767083238119,Central
314708520,residential,False,True,54.58013139280336,,,,,"LINESTRING (79.076782 21.170303, 79.076807 21.170334, 79.076817 21.170414, 79.076838 21.170481, 79.076881 21.170586, 79.07695 21.170666, 79.077001 21.170738)",,,,,,21.170527308899302,79.0768742530071,Central
143748502,tertiary,False,False,81.37163617053659,Seminary Hills Road,,,,"LINESTRING (79.050454 21.165211, 79.050082 21.165164, 79.049677 21.165113)",,,,,,21.16516192476578,79.05006539633399,West
143748502,tertiary,False,True,278.5947860798456,Seminary Hills Road,,,,"LINESTRING (79.050454 21.165211, 79.051465 21.165345, 79.052202 21.165432, 79.05228 21.16547, 79.052445 21.165539, 79.052577 21.165658, 79.052884 21.16599)",,,,,,21.165446728794873,79.05175297922703,West
202257917,residential,False,True,252.39339223959846,,,,,"LINESTRING (79.050454 21.165211, 79.050481 21.164334, 79.050503 21.164269, 79.050559 21.164235, 79.051356 21.163992, 79.051179 21.163541)",,,,,,21.164303824162385,79.05080841781644,West
992482900,residential,False,True,23.764771170912976,,,,,"LINESTRING (79.076473 21.164058, 79.076253 21.164118)",,,,,,21.16408770003751,79.07636315001942,Central
314125384,tertiary,False,False,51.88810304864993,,,,,"LINESTRING (79.076473 21.164058, 79.076481 21.16425, 79.076468 21.164313, 79.07635 21.164335, 79.076253 21.164374)",,,,,,21.164254489362893,79.07642329419707,Central
314125384,tertiary,False,True,74.20191976033496,,,,,"LINESTRING (79.076473 21.164058, 79.076433 21.163635, 79.076433 21.163512, 79.076521 21.163425)",,,,,,21.163727902765977,79.07645367747989,Central
225644647,tertiary,False,False,21.304617524795056,,,,,"LINESTRING (79.076641 21.170216, 79.076655 21.170134, 79.076645 21.170026)",,,,,,21.170121301570084,79.07664890517431,Central
225644647,tertiary,False,True,133.49859007792332,,,,,"LINESTRING (79.076641 21.170216, 79.076606 21.170425, 79.076575 21.170755, 79.076548 21.171412)",,,,,,21.170813156384604,79.07658036758606,Central
314125402,tertiary,False,False,17.643314887902044,,,,,"LINESTRING (79.076641 21.170216, 79.076716 21.170275, 79.076782 21.170303)",,,,,,21.170263973353563,79.0767083238119,Central
314125383,residential,False,True,23.184995294384628,,,,,"LINESTRING (79.077505 21.170291, 79.07748 21.170084)",,,,,,21.170187100000398,79.07749279999439,Central
314125402,tertiary,False,False,105.46034249977387,,,,,"LINESTRING (79.077505 21.170291, 79.078211 21.170123, 79.078487 21.170042)",,,,,,21.17017168488925,79.0779974807544,Central
314125402,tertiary,False,True,80.28028836097067,,,,,"LINESTRING (79.077505 21.170291, 79.077101 21.170403, 79.076928 21.1704, 79.076782 21.170303)",,,,,,21.17036009764717,79.07713485774988,Central
